customer_id,decision,matched_uid
C975063,MATCH,SDN-92436
C416672,NO_MATCH,
C678563,NO_MATCH,
C310196,MATCH,SDN-26871
C530035,MATCH,SDN-54933
C758038,MATCH,SDN-57895
C835065,NO_MATCH,
C209026,NO_MATCH,
C891381,NO_MATCH,
C355597,MATCH,SDN-69212
C727087,NO_MATCH,
C630809,NO_MATCH,
C254545,NO_MATCH,
C588070,NO_MATCH,
C457945,NO_MATCH,
C563599,MATCH,SDN-88982
C483257,NO_MATCH,
C495957,NO_MATCH,
C650920,MATCH,SDN-68696
C892095,NO_MATCH,
C112811,MATCH,SDN-99220
C440717,NO_MATCH,
C914228,MATCH,SDN-78736
C431472,NO_MATCH,
C586242,MATCH,SDN-89304
C335984,NO_MATCH,
C314002,NO_MATCH,
C301209,NO_MATCH,
C933001,MATCH,SDN-36122
C263638,MATCH,SDN-29174
C389501,NO_MATCH,
C114062,NO_MATCH,
C544906,NO_MATCH,
C332558,NO_MATCH,
C970398,NO_MATCH,
C533585,MATCH,SDN-54741
C757608,MATCH,SDN-94745
C416330,NO_MATCH,
C733540,NO_MATCH,
C516537,MATCH,SDN-59304
C815711,MATCH,SDN-19957
C925677,MATCH,SDN-19481
C470935,NO_MATCH,
C246785,NO_MATCH,
C146216,MATCH,SDN-80635
C361784,NO_MATCH,
C466617,NO_MATCH,
C406838,NO_MATCH,
C687377,NO_MATCH,
C506236,MATCH,SDN-58932
C485042,NO_MATCH,
C531523,MATCH,SDN-32803
C920072,NO_MATCH,
C827009,NO_MATCH,
C543142,NO_MATCH,
C229618,MATCH,SDN-93397
C869434,NO_MATCH,
C712230,NO_MATCH,
C962213,NO_MATCH,
C171875,MATCH,SDN-88649
C481444,NO_MATCH,
C453175,NO_MATCH,
C454810,MATCH,SDN-43608
C222057,MATCH,SDN-53005
C546546,NO_MATCH,
C180684,NO_MATCH,
C351180,NO_MATCH,
C725369,MATCH,SDN-81117
C177679,NO_MATCH,
C685317,NO_MATCH,
C117107,MATCH,SDN-47741
C237410,MATCH,SDN-47253
C123953,NO_MATCH,
C958297,NO_MATCH,
C152452,NO_MATCH,
C914837,NO_MATCH,
C159452,MATCH,SDN-29137
C627804,NO_MATCH,
C664142,NO_MATCH,
C497625,NO_MATCH,
C951228,NO_MATCH,
C326527,NO_MATCH,
C198403,NO_MATCH,
C522012,NO_MATCH,
C352408,NO_MATCH,
