customer_id,decision,matched_uid
C766735,NO_MATCH,
C885994,NO_MATCH,
C741089,NO_MATCH,
C930138,MATCH,SDN-76962
C337970,NO_MATCH,
C219547,NO_MATCH,
C955859,NO_MATCH,
C750141,NO_MATCH,
C613469,NO_MATCH,
C454800,NO_MATCH,
C997207,MATCH,SDN-23772
C585536,NO_MATCH,
C585214,NO_MATCH,
C726908,MATCH,SDN-52389
C942477,NO_MATCH,
C609525,NO_MATCH,
C321556,NO_MATCH,
C210175,NO_MATCH,
C277558,NO_MATCH,
C129753,NO_MATCH,
C460749,NO_MATCH,
C412868,MATCH,SDN-29033
C344799,NO_MATCH,
C979694,NO_MATCH,
C231793,MATCH,SDN-68792
C820041,NO_MATCH,
C577633,NO_MATCH,
C585626,NO_MATCH,
C372381,NO_MATCH,
C411814,NO_MATCH,
C318867,NO_MATCH,
C780201,NO_MATCH,
C243679,NO_MATCH,
C767322,NO_MATCH,
C781214,NO_MATCH,
C664706,NO_MATCH,
C255271,MATCH,SDN-12088
C817571,NO_MATCH,
C521182,MATCH,SDN-87774
C578762,NO_MATCH,
C321166,MATCH,SDN-46329
C629752,NO_MATCH,
C559764,NO_MATCH,
C804580,NO_MATCH,
C440609,NO_MATCH,
C481634,NO_MATCH,
C820977,NO_MATCH,
C210496,NO_MATCH,
C269266,MATCH,SDN-51231
C841557,NO_MATCH,
C791402,NO_MATCH,
C980333,MATCH,SDN-71095
C264804,NO_MATCH,
C127451,NO_MATCH,
C453027,NO_MATCH,
C233883,NO_MATCH,
C798264,NO_MATCH,
C102043,NO_MATCH,
C194819,NO_MATCH,
C279114,NO_MATCH,
C794134,NO_MATCH,
C123433,NO_MATCH,
C627594,MATCH,SDN-49769
C837938,NO_MATCH,
C666657,NO_MATCH,
C282208,NO_MATCH,
C344112,NO_MATCH,
C453817,MATCH,SDN-27791
C431036,NO_MATCH,
C152595,NO_MATCH,
C962379,NO_MATCH,
C434563,NO_MATCH,
C268725,NO_MATCH,
C149735,NO_MATCH,
C700435,NO_MATCH,
C264046,NO_MATCH,
C457035,NO_MATCH,
C558509,NO_MATCH,
C351969,NO_MATCH,
C310702,NO_MATCH,
C708862,NO_MATCH,
C949100,NO_MATCH,
C484424,NO_MATCH,
C450047,NO_MATCH,
C998031,MATCH,SDN-60582
C505054,NO_MATCH,
C772199,NO_MATCH,
C923654,NO_MATCH,
C259536,NO_MATCH,
