customer_id,decision,matched_uid
C341536,NO_MATCH,
C780107,NO_MATCH,
C616853,NO_MATCH,
C207026,NO_MATCH,
C288452,NO_MATCH,
C934654,NO_MATCH,
C972959,NO_MATCH,
C890579,NO_MATCH,
C454491,NO_MATCH,
C404941,NO_MATCH,
C640258,MATCH,SDN-17928
C970387,NO_MATCH,
C472041,NO_MATCH,
C109770,NO_MATCH,
C196293,NO_MATCH,
C433462,NO_MATCH,
C530112,NO_MATCH,
C214328,MATCH,SDN-93399
C895321,NO_MATCH,
C656273,NO_MATCH,
C167239,MATCH,SDN-44895
C315787,NO_MATCH,
C980414,NO_MATCH,
C544211,NO_MATCH,
C780841,NO_MATCH,
C712910,NO_MATCH,
C258015,NO_MATCH,
C416275,NO_MATCH,
C886916,MATCH,SDN-24238
C208568,NO_MATCH,
C600181,MATCH,SDN-42121
C202467,MATCH,SDN-35273
C781329,NO_MATCH,
C288672,NO_MATCH,
C682203,NO_MATCH,
C300303,NO_MATCH,
C447254,NO_MATCH,
C246052,NO_MATCH,
C254306,NO_MATCH,
C921766,NO_MATCH,
C374698,NO_MATCH,
C960410,NO_MATCH,
C728453,NO_MATCH,
C971737,NO_MATCH,
C187533,NO_MATCH,
C139108,NO_MATCH,
C951897,NO_MATCH,
C944769,MATCH,SDN-77015
C212701,NO_MATCH,
C545780,NO_MATCH,
C369229,NO_MATCH,
C244303,MATCH,SDN-91156
C802321,MATCH,SDN-77944
C770188,MATCH,SDN-81753
C520793,MATCH,SDN-40375
C310220,NO_MATCH,
C765735,NO_MATCH,
C998198,MATCH,SDN-50016
C957972,NO_MATCH,
C232318,MATCH,SDN-67477
C188381,NO_MATCH,
C623092,NO_MATCH,
C641067,NO_MATCH,
C834357,NO_MATCH,
C989704,NO_MATCH,
C950750,NO_MATCH,
C712911,NO_MATCH,
C534818,NO_MATCH,
C714637,NO_MATCH,
C979518,NO_MATCH,
C615388,NO_MATCH,
C502957,NO_MATCH,
C817605,NO_MATCH,
C504166,MATCH,SDN-44290
C906320,NO_MATCH,
C968745,NO_MATCH,
C645029,MATCH,SDN-26384
C677046,NO_MATCH,
C544412,NO_MATCH,
C912976,NO_MATCH,
C825088,NO_MATCH,
C893236,NO_MATCH,
C116090,NO_MATCH,
C456877,NO_MATCH,
C483664,NO_MATCH,
C250223,NO_MATCH,
C298703,NO_MATCH,
C345324,NO_MATCH,
C828952,MATCH,SDN-32900
C242140,NO_MATCH,
C362852,NO_MATCH,
C198825,NO_MATCH,
C405911,NO_MATCH,
C340457,NO_MATCH,
C925655,NO_MATCH,
C708820,NO_MATCH,
C324026,NO_MATCH,
C815885,NO_MATCH,
C443935,NO_MATCH,
C658968,MATCH,SDN-46617
C276478,NO_MATCH,
C710544,NO_MATCH,
C840244,NO_MATCH,
C620045,NO_MATCH,
C783211,MATCH,SDN-53348
C816286,NO_MATCH,
C554680,NO_MATCH,
C179760,MATCH,SDN-92580
C823496,NO_MATCH,
C316101,NO_MATCH,
C576616,NO_MATCH,
C834697,NO_MATCH,
C726414,MATCH,SDN-93242
C509963,MATCH,SDN-43836
C263709,NO_MATCH,
C196587,NO_MATCH,
C571965,NO_MATCH,
C131458,NO_MATCH,
C128240,MATCH,SDN-81766
C504382,NO_MATCH,
C942991,NO_MATCH,
C182772,MATCH,SDN-39086
C849639,NO_MATCH,
C364427,NO_MATCH,
C892735,NO_MATCH,
C778221,NO_MATCH,
C108435,NO_MATCH,
C413664,NO_MATCH,
C952936,NO_MATCH,
C573204,MATCH,SDN-84997
C429403,NO_MATCH,
C974788,NO_MATCH,
C531664,NO_MATCH,
C746017,NO_MATCH,
C379340,NO_MATCH,
C689742,NO_MATCH,
C857035,NO_MATCH,
C759383,NO_MATCH,
C915101,MATCH,SDN-94317
C686215,NO_MATCH,
C583325,NO_MATCH,
C211719,NO_MATCH,
C853259,MATCH,SDN-17411
C187970,MATCH,SDN-74827
C803095,NO_MATCH,
C594988,MATCH,SDN-51454
C510233,NO_MATCH,
C131919,NO_MATCH,
C279486,NO_MATCH,
C100804,NO_MATCH,
C862682,NO_MATCH,
C861336,NO_MATCH,
C704781,NO_MATCH,
C987379,NO_MATCH,
C778703,NO_MATCH,
C175330,NO_MATCH,
C915146,NO_MATCH,
C113869,NO_MATCH,
C675611,NO_MATCH,
C963275,NO_MATCH,
C232049,NO_MATCH,
C277506,MATCH,SDN-57975
C358949,NO_MATCH,
C643307,NO_MATCH,
C848199,NO_MATCH,
C392506,MATCH,SDN-12164
C976969,NO_MATCH,
C599125,NO_MATCH,
C977568,NO_MATCH,
C788846,NO_MATCH,
C287431,NO_MATCH,
C147413,NO_MATCH,
C651652,NO_MATCH,
C518947,MATCH,SDN-25478
C710985,NO_MATCH,
C902293,NO_MATCH,
C419189,NO_MATCH,
C464675,NO_MATCH,
C396726,NO_MATCH,
C725077,NO_MATCH,
C336362,NO_MATCH,
C300945,NO_MATCH,
C261166,MATCH,SDN-67394
C800386,NO_MATCH,
C707272,NO_MATCH,
C727220,NO_MATCH,
C976809,NO_MATCH,
C613226,NO_MATCH,
C137744,NO_MATCH,
C312855,MATCH,SDN-73501
C537939,MATCH,SDN-66573
C539752,MATCH,SDN-61036
C314360,NO_MATCH,
C242967,NO_MATCH,
C354065,NO_MATCH,
C200730,NO_MATCH,
C358426,NO_MATCH,
C250487,NO_MATCH,
C869022,MATCH,SDN-37687
C214987,NO_MATCH,
C636574,NO_MATCH,
C142975,NO_MATCH,
C977849,MATCH,SDN-21877
C908096,NO_MATCH,
C831270,NO_MATCH,
C543780,NO_MATCH,
C444437,NO_MATCH,
C518333,NO_MATCH,
C694676,NO_MATCH,
C581513,MATCH,SDN-66544
C583152,NO_MATCH,
C817234,NO_MATCH,
C842726,NO_MATCH,
C434734,NO_MATCH,
C797787,NO_MATCH,
C106796,NO_MATCH,
C127642,NO_MATCH,
C564248,NO_MATCH,
C739913,NO_MATCH,
C416500,NO_MATCH,
C904845,NO_MATCH,
C804235,NO_MATCH,
C608679,NO_MATCH,
C153018,NO_MATCH,
C395166,MATCH,SDN-98273
C978311,NO_MATCH,
C670628,NO_MATCH,
C323405,NO_MATCH,
C395374,NO_MATCH,
C826196,NO_MATCH,
C249104,NO_MATCH,
C574077,NO_MATCH,
C855158,MATCH,SDN-29665
C382994,NO_MATCH,
C380468,MATCH,SDN-67430
C854903,NO_MATCH,
C410332,NO_MATCH,
C234463,MATCH,SDN-86629
C702912,NO_MATCH,
C909301,NO_MATCH,
C447918,NO_MATCH,
C441548,NO_MATCH,
C230127,NO_MATCH,
C124134,MATCH,SDN-36663
C403319,NO_MATCH,
C483470,NO_MATCH,
C724870,NO_MATCH,
C755442,NO_MATCH,
C530917,NO_MATCH,
C267003,NO_MATCH,
C661120,NO_MATCH,
C878173,NO_MATCH,
C120912,MATCH,SDN-77158
C750119,NO_MATCH,
C437812,NO_MATCH,
C115005,NO_MATCH,
C518816,NO_MATCH,
C223865,NO_MATCH,
C313639,NO_MATCH,
C703451,NO_MATCH,
C806550,MATCH,SDN-24721
C895557,NO_MATCH,
C823517,NO_MATCH,
C297982,NO_MATCH,
C900652,NO_MATCH,
C259769,NO_MATCH,
C693073,NO_MATCH,
C268037,MATCH,SDN-57072
C429656,NO_MATCH,
C807839,NO_MATCH,
C136469,NO_MATCH,
C592246,NO_MATCH,
C401689,NO_MATCH,
C193026,NO_MATCH,
C296162,MATCH,SDN-64781
C277365,NO_MATCH,
C822432,NO_MATCH,
C345539,NO_MATCH,
C642753,NO_MATCH,
C915183,NO_MATCH,
C671598,NO_MATCH,
C280982,NO_MATCH,
C279596,NO_MATCH,
C930935,MATCH,SDN-54599
C615613,NO_MATCH,
C489540,NO_MATCH,
C644499,NO_MATCH,
C723758,NO_MATCH,
C182682,NO_MATCH,
C499620,NO_MATCH,
C526335,NO_MATCH,
C122537,MATCH,SDN-61777
C620750,NO_MATCH,
C806006,NO_MATCH,
C501503,NO_MATCH,
C198780,MATCH,SDN-59716
C961301,NO_MATCH,
C512132,MATCH,SDN-80899
C613727,NO_MATCH,
C994417,NO_MATCH,
C378330,NO_MATCH,
C725520,NO_MATCH,
C337323,NO_MATCH,
C614063,NO_MATCH,
C262631,MATCH,SDN-13749
C680998,MATCH,SDN-71639
C120347,NO_MATCH,
C340466,MATCH,SDN-95108
C688459,NO_MATCH,
C350216,NO_MATCH,
C964897,MATCH,SDN-45792
C377053,NO_MATCH,
C449488,NO_MATCH,
C767052,NO_MATCH,
C829199,MATCH,SDN-27042
C546046,NO_MATCH,
C596465,NO_MATCH,
C917838,NO_MATCH,
C123821,NO_MATCH,
C384062,NO_MATCH,
C379601,NO_MATCH,
C681011,MATCH,SDN-96939
C518702,NO_MATCH,
C151872,NO_MATCH,
C460180,MATCH,SDN-83785
C828748,NO_MATCH,
C663536,NO_MATCH,
C548859,MATCH,SDN-14488
C967550,NO_MATCH,
C387546,NO_MATCH,
C944120,MATCH,SDN-33396
C948320,MATCH,SDN-28359
C894246,NO_MATCH,
C464432,NO_MATCH,
C440648,NO_MATCH,
C239065,NO_MATCH,
C166412,NO_MATCH,
C801277,NO_MATCH,
C288136,NO_MATCH,
C945590,NO_MATCH,
C899662,NO_MATCH,
C405106,NO_MATCH,
C614562,NO_MATCH,
C906052,NO_MATCH,
C253542,NO_MATCH,
C339110,NO_MATCH,
C750808,NO_MATCH,
C340906,MATCH,SDN-18175
C727977,NO_MATCH,
C638789,NO_MATCH,
C603455,NO_MATCH,
C940863,NO_MATCH,
C343294,NO_MATCH,
C304830,NO_MATCH,
C839211,NO_MATCH,
C121250,NO_MATCH,
C311955,NO_MATCH,
C784080,MATCH,SDN-71198
C578955,NO_MATCH,
C700266,NO_MATCH,
C857428,NO_MATCH,
C205497,NO_MATCH,
C811105,NO_MATCH,
C274241,MATCH,SDN-47949
C221676,NO_MATCH,
C798658,MATCH,SDN-60929
C231350,NO_MATCH,
C809615,MATCH,SDN-90109
C850848,NO_MATCH,
C753290,NO_MATCH,
C670313,NO_MATCH,
C344787,NO_MATCH,
C908439,NO_MATCH,
C748804,MATCH,SDN-10681
C919473,NO_MATCH,
C373792,NO_MATCH,
C896450,NO_MATCH,
C390640,NO_MATCH,
C577135,MATCH,SDN-64263
C638090,NO_MATCH,
C704227,NO_MATCH,
C789312,NO_MATCH,
C238362,NO_MATCH,
C757088,NO_MATCH,
C165049,NO_MATCH,
C979396,NO_MATCH,
C124486,NO_MATCH,
C399107,NO_MATCH,
C802503,NO_MATCH,
C955772,MATCH,SDN-63169
C234058,MATCH,SDN-28696
C545971,NO_MATCH,
C462384,NO_MATCH,
C901277,NO_MATCH,
C175671,NO_MATCH,
C421196,NO_MATCH,
C519546,NO_MATCH,
C844436,MATCH,SDN-98638
C718715,NO_MATCH,
C730940,NO_MATCH,
C180356,NO_MATCH,
C275069,NO_MATCH,
C930111,NO_MATCH,
C507945,NO_MATCH,
C545584,NO_MATCH,
C272950,NO_MATCH,
C653757,NO_MATCH,
C443117,NO_MATCH,
C896754,MATCH,SDN-63114
C113400,NO_MATCH,
C240489,NO_MATCH,
C320017,NO_MATCH,
C822013,NO_MATCH,
C791194,NO_MATCH,
C730725,NO_MATCH,
C823057,NO_MATCH,
C712105,NO_MATCH,
C616434,NO_MATCH,
C797906,NO_MATCH,
C837903,NO_MATCH,
C391739,NO_MATCH,
C773060,NO_MATCH,
C963863,NO_MATCH,
C464116,NO_MATCH,
C448592,MATCH,SDN-81910
C569314,NO_MATCH,
C332494,NO_MATCH,
C391342,NO_MATCH,
C172767,NO_MATCH,
C484856,NO_MATCH,
C912393,NO_MATCH,
C247457,NO_MATCH,
C849379,NO_MATCH,
C895088,NO_MATCH,
C853774,NO_MATCH,
C451517,NO_MATCH,
C593218,NO_MATCH,
C846132,MATCH,SDN-19428
C719719,NO_MATCH,
C798841,NO_MATCH,
C465975,NO_MATCH,
C862507,NO_MATCH,
C936660,MATCH,SDN-24453
C424327,NO_MATCH,
C860353,NO_MATCH,
C201242,NO_MATCH,
C936092,NO_MATCH,
C952863,NO_MATCH,
C753770,NO_MATCH,
C735196,NO_MATCH,
C858270,MATCH,SDN-84343
C418326,NO_MATCH,
C720404,NO_MATCH,
C458315,MATCH,SDN-17963
C853660,NO_MATCH,
C674494,NO_MATCH,
C292533,NO_MATCH,
C652847,NO_MATCH,
C198247,NO_MATCH,
C672271,NO_MATCH,
C534220,NO_MATCH,
C330713,NO_MATCH,
C510610,MATCH,SDN-71095
C904575,NO_MATCH,
C484080,NO_MATCH,
C561855,MATCH,SDN-63185
C715189,MATCH,SDN-86108
C420786,NO_MATCH,
C388049,MATCH,SDN-35940
C953359,NO_MATCH,
C978732,NO_MATCH,
C245430,NO_MATCH,
C542708,NO_MATCH,
C210625,NO_MATCH,
C612538,NO_MATCH,
C732375,NO_MATCH,
C312138,NO_MATCH,
C633341,NO_MATCH,
C692354,NO_MATCH,
C170894,NO_MATCH,
C198879,NO_MATCH,
C498216,NO_MATCH,
C243982,NO_MATCH,
C959822,MATCH,SDN-13016
C955241,NO_MATCH,
C262735,NO_MATCH,
C101904,MATCH,SDN-99178
C298383,NO_MATCH,
C136287,NO_MATCH,
C623093,NO_MATCH,
C907067,MATCH,SDN-24097
C266117,NO_MATCH,
C207099,NO_MATCH,
C160460,MATCH,SDN-21117
C490696,MATCH,SDN-82662
C325618,NO_MATCH,
C766926,NO_MATCH,
C608259,NO_MATCH,
C788504,NO_MATCH,
C158879,NO_MATCH,
C835977,NO_MATCH,
C863210,NO_MATCH,
C396558,NO_MATCH,
C196747,NO_MATCH,
C927698,NO_MATCH,
C511977,NO_MATCH,
C995081,NO_MATCH,
C131801,NO_MATCH,
C930989,MATCH,SDN-68091
C965210,MATCH,SDN-48227
C830836,MATCH,SDN-60040
C185525,NO_MATCH,
C327103,MATCH,SDN-85884
C729035,NO_MATCH,
C146076,NO_MATCH,
C959967,NO_MATCH,
C775085,NO_MATCH,
C917580,NO_MATCH,
C332705,NO_MATCH,
C878059,NO_MATCH,
C347798,NO_MATCH,
C607182,NO_MATCH,
C688409,MATCH,SDN-76776
C530672,NO_MATCH,
C200259,NO_MATCH,
C456192,NO_MATCH,
C700017,NO_MATCH,
C641778,NO_MATCH,
C390599,MATCH,SDN-15684
C579832,NO_MATCH,
C663445,NO_MATCH,
C908896,MATCH,SDN-25891
C633178,NO_MATCH,
C930943,MATCH,SDN-88865
C179611,NO_MATCH,
C656684,NO_MATCH,
C379123,NO_MATCH,
C904778,NO_MATCH,
C689386,NO_MATCH,
C800799,NO_MATCH,
C524631,NO_MATCH,
C775674,NO_MATCH,
C101033,NO_MATCH,
C719321,NO_MATCH,
C281185,NO_MATCH,
C284428,NO_MATCH,
C537865,MATCH,SDN-92249
C306704,NO_MATCH,
C952239,NO_MATCH,
C162562,NO_MATCH,
C622815,NO_MATCH,
C982151,NO_MATCH,
C548660,MATCH,SDN-62710
C351096,MATCH,SDN-62381
C953899,NO_MATCH,
C711526,NO_MATCH,
C857946,NO_MATCH,
C674525,NO_MATCH,
C882690,NO_MATCH,
C871717,NO_MATCH,
C927005,NO_MATCH,
C997784,NO_MATCH,
C757563,NO_MATCH,
C930754,NO_MATCH,
C695235,MATCH,SDN-19648
C857507,NO_MATCH,
C245786,NO_MATCH,
C738243,NO_MATCH,
C350942,NO_MATCH,
C757465,MATCH,SDN-94790
C977892,NO_MATCH,
C469627,NO_MATCH,
C477607,NO_MATCH,
C275775,NO_MATCH,
C892365,NO_MATCH,
C884757,NO_MATCH,
C356110,NO_MATCH,
C762094,NO_MATCH,
C367806,NO_MATCH,
C760043,NO_MATCH,
C712397,NO_MATCH,
C727732,NO_MATCH,
C523151,NO_MATCH,
C714736,NO_MATCH,
C709743,NO_MATCH,
C633812,MATCH,SDN-25055
C794263,NO_MATCH,
C225654,NO_MATCH,
C435637,MATCH,SDN-23465
C499383,MATCH,SDN-87393
C894325,NO_MATCH,
C194427,NO_MATCH,
C261173,NO_MATCH,
C496915,NO_MATCH,
C296177,NO_MATCH,
C661906,NO_MATCH,
C265600,MATCH,SDN-53280
C544208,MATCH,SDN-85902
C959308,NO_MATCH,
C179371,NO_MATCH,
C504536,NO_MATCH,
C588767,NO_MATCH,
C791238,NO_MATCH,
C992367,NO_MATCH,
C460099,NO_MATCH,
C197709,NO_MATCH,
C832982,NO_MATCH,
C341841,NO_MATCH,
C797950,NO_MATCH,
C691532,NO_MATCH,
C818180,NO_MATCH,
C489693,NO_MATCH,
C577753,NO_MATCH,
C979155,NO_MATCH,
C108601,NO_MATCH,
C702553,NO_MATCH,
C464049,NO_MATCH,
C266187,NO_MATCH,
C745741,NO_MATCH,
C142425,NO_MATCH,
C793388,NO_MATCH,
C639956,NO_MATCH,
C671281,NO_MATCH,
C488437,NO_MATCH,
C360829,NO_MATCH,
C321208,NO_MATCH,
C401392,NO_MATCH,
C942655,NO_MATCH,
C704902,NO_MATCH,
C862750,NO_MATCH,
C371541,NO_MATCH,
C587468,NO_MATCH,
C108686,NO_MATCH,
C807180,NO_MATCH,
C335475,NO_MATCH,
C717654,NO_MATCH,
C287104,NO_MATCH,
C339881,NO_MATCH,
C663138,MATCH,SDN-33838
C318822,NO_MATCH,
C757344,NO_MATCH,
C545964,MATCH,SDN-77033
C599678,NO_MATCH,
C560007,NO_MATCH,
C297684,MATCH,SDN-48124
C546201,MATCH,SDN-62499
C761782,NO_MATCH,
C338663,NO_MATCH,
C911822,NO_MATCH,
C345272,NO_MATCH,
C399194,MATCH,SDN-25755
C504410,MATCH,SDN-74396
C724345,NO_MATCH,
C956469,NO_MATCH,
C158062,NO_MATCH,
C809069,MATCH,SDN-37744
C430543,NO_MATCH,
C315639,NO_MATCH,
C943351,NO_MATCH,
C916560,NO_MATCH,
C991338,NO_MATCH,
