customer_id,decision,matched_uid
C917344,NO_MATCH,
C948745,NO_MATCH,
C774892,NO_MATCH,
C143519,NO_MATCH,
C883765,NO_MATCH,
C616894,MATCH,SDN-67394
C443824,NO_MATCH,
C261498,NO_MATCH,
C299557,MATCH,SDN-49771
C187670,NO_MATCH,
C715145,MATCH,SDN-99483
C648193,NO_MATCH,
C235376,NO_MATCH,
C607658,NO_MATCH,
C593903,NO_MATCH,
C365717,MATCH,SDN-80452
C156345,NO_MATCH,
C487878,NO_MATCH,
C806744,MATCH,SDN-19714
C555858,MATCH,SDN-80573
C637534,NO_MATCH,
C288579,NO_MATCH,
C213284,MATCH,SDN-85759
C253906,NO_MATCH,
C191134,NO_MATCH,
C860889,MATCH,SDN-92235
C938391,MATCH,SDN-67522
C572184,MATCH,SDN-99336
C364574,NO_MATCH,
C173888,MATCH,SDN-28193
C463820,NO_MATCH,
C940972,MATCH,SDN-94128
C261483,MATCH,SDN-99319
C291180,NO_MATCH,
C676556,NO_MATCH,
C166648,MATCH,SDN-81229
C800343,NO_MATCH,
C311962,NO_MATCH,
C924832,MATCH,SDN-85164
C783350,MATCH,SDN-56397
C285876,NO_MATCH,
C101592,MATCH,SDN-21871
C899021,MATCH,SDN-15309
C412109,NO_MATCH,
C184444,NO_MATCH,
C705795,NO_MATCH,
C483114,MATCH,SDN-57038
C675321,MATCH,SDN-99711
C974653,NO_MATCH,
C930539,NO_MATCH,
C724988,NO_MATCH,
C580705,MATCH,SDN-12606
C394635,NO_MATCH,
C971888,MATCH,SDN-38912
C997028,MATCH,SDN-52389
C684716,MATCH,SDN-91360
C515384,NO_MATCH,
C764470,NO_MATCH,
C437586,MATCH,SDN-99017
C145603,NO_MATCH,
C114488,NO_MATCH,
C831618,NO_MATCH,
C140215,MATCH,SDN-74827
C295762,MATCH,SDN-25073
C682910,NO_MATCH,
C825178,NO_MATCH,
C784801,NO_MATCH,
C749933,MATCH,SDN-40764
C916754,MATCH,SDN-21332
C114906,NO_MATCH,
C568261,NO_MATCH,
C538499,MATCH,SDN-33941
C690677,MATCH,SDN-79187
C422953,NO_MATCH,
C303981,NO_MATCH,
C320723,NO_MATCH,
C272542,NO_MATCH,
C945948,MATCH,SDN-78800
C823366,NO_MATCH,
C546361,NO_MATCH,
C885419,NO_MATCH,
C923313,NO_MATCH,
C316666,NO_MATCH,
C320123,NO_MATCH,
C778648,NO_MATCH,
C478465,NO_MATCH,
C227502,NO_MATCH,
C798364,NO_MATCH,
C167060,NO_MATCH,
C383616,MATCH,SDN-55137
C829384,NO_MATCH,
C617247,MATCH,SDN-31907
C400317,MATCH,SDN-45360
C242058,NO_MATCH,
C796907,NO_MATCH,
C470381,NO_MATCH,
C624931,MATCH,SDN-68238
C982076,MATCH,SDN-57254
C651377,NO_MATCH,
C792284,NO_MATCH,
C820738,NO_MATCH,
C407967,NO_MATCH,
C602042,MATCH,SDN-52499
C710910,MATCH,SDN-61985
C705998,NO_MATCH,
C713984,MATCH,SDN-11813
C344418,NO_MATCH,
C744377,NO_MATCH,
C242637,NO_MATCH,
C154026,NO_MATCH,
C505693,NO_MATCH,
C122025,NO_MATCH,
C160086,NO_MATCH,
C239236,NO_MATCH,
C880403,MATCH,SDN-14524
C450188,NO_MATCH,
C561618,MATCH,SDN-23981
C774453,NO_MATCH,
C367378,MATCH,SDN-41268
C102711,NO_MATCH,
C324810,NO_MATCH,
C320979,NO_MATCH,
C635959,NO_MATCH,
C135038,NO_MATCH,
C358755,NO_MATCH,
C658372,NO_MATCH,
C380206,MATCH,SDN-76838
C325238,NO_MATCH,
C540640,MATCH,SDN-81498
C864339,MATCH,SDN-15813
C304319,NO_MATCH,
C984554,NO_MATCH,
C400818,MATCH,SDN-77340
C105136,MATCH,SDN-81958
C413039,NO_MATCH,
C610416,NO_MATCH,
C497544,NO_MATCH,
C640189,MATCH,SDN-24000
C481220,NO_MATCH,
C789047,NO_MATCH,
C532193,NO_MATCH,
C481617,NO_MATCH,
C239415,NO_MATCH,
C275729,NO_MATCH,
C730620,NO_MATCH,
C668629,NO_MATCH,
C174689,MATCH,SDN-53669
C714358,MATCH,SDN-38760
C441924,MATCH,SDN-19825
C733901,NO_MATCH,
C529686,MATCH,SDN-31207
C605469,MATCH,SDN-81379
C589604,MATCH,SDN-56682
C963629,NO_MATCH,
C256483,NO_MATCH,
C209729,NO_MATCH,
C463602,NO_MATCH,
C770129,MATCH,SDN-79422
C808131,NO_MATCH,
C136183,MATCH,SDN-14574
C385222,NO_MATCH,
C356792,NO_MATCH,
C523043,NO_MATCH,
C585943,NO_MATCH,
C586533,NO_MATCH,
C945215,NO_MATCH,
C608504,NO_MATCH,
C940177,MATCH,SDN-47761
C300456,NO_MATCH,
C740906,MATCH,SDN-31269
C482747,NO_MATCH,
C825831,MATCH,SDN-61790
C109473,NO_MATCH,
C338986,NO_MATCH,
C131761,NO_MATCH,
C387832,NO_MATCH,
C374067,NO_MATCH,
C832223,NO_MATCH,
C302069,MATCH,SDN-40875
C172261,NO_MATCH,
C442739,NO_MATCH,
C356652,NO_MATCH,
C925382,NO_MATCH,
C769141,NO_MATCH,
C876755,MATCH,SDN-30347
C570087,NO_MATCH,
C596325,NO_MATCH,
C521362,NO_MATCH,
C931824,NO_MATCH,
C464402,NO_MATCH,
C836888,NO_MATCH,
C231067,NO_MATCH,
C128269,NO_MATCH,
C391956,NO_MATCH,
C409485,NO_MATCH,
C164501,NO_MATCH,
C239739,NO_MATCH,
C626440,MATCH,SDN-22473
C580470,MATCH,SDN-86984
C191283,NO_MATCH,
C861723,NO_MATCH,
C562391,MATCH,SDN-13815
C868929,NO_MATCH,
C200473,NO_MATCH,
C238403,MATCH,SDN-84142
C592511,MATCH,SDN-77009
C204153,MATCH,SDN-28339
C850147,MATCH,SDN-72253
C955162,MATCH,SDN-75772
C815169,MATCH,SDN-88138
C458499,MATCH,SDN-12295
C625977,NO_MATCH,
C917108,NO_MATCH,
C772862,MATCH,SDN-98562
C866461,NO_MATCH,
C505687,NO_MATCH,
C225310,MATCH,SDN-77009
C892423,NO_MATCH,
C531997,NO_MATCH,
C757581,NO_MATCH,
C211826,NO_MATCH,
C358085,NO_MATCH,
C866519,MATCH,SDN-97845
C674538,NO_MATCH,
C532837,NO_MATCH,
C849926,NO_MATCH,
C457073,MATCH,SDN-68557
C475314,MATCH,SDN-28795
C203008,NO_MATCH,
C121988,MATCH,SDN-93917
C736933,NO_MATCH,
C844730,MATCH,SDN-53799
C562315,MATCH,SDN-90688
C346042,NO_MATCH,
C860400,MATCH,SDN-38098
C164235,NO_MATCH,
C868479,NO_MATCH,
C850073,NO_MATCH,
C301044,MATCH,SDN-60472
C485684,NO_MATCH,
C966989,NO_MATCH,
C698392,MATCH,SDN-31574
C392076,MATCH,SDN-37592
C320941,NO_MATCH,
C740621,NO_MATCH,
C894328,NO_MATCH,
C331456,NO_MATCH,
C907666,MATCH,SDN-18454
C989428,MATCH,SDN-10583
C508648,NO_MATCH,
C852352,NO_MATCH,
C955981,NO_MATCH,
C686383,NO_MATCH,
C183498,NO_MATCH,
C753552,NO_MATCH,
C170268,MATCH,SDN-18931
C948344,NO_MATCH,
C185427,NO_MATCH,
C265154,NO_MATCH,
C622238,MATCH,SDN-26170
C778463,NO_MATCH,
C481429,NO_MATCH,
C967451,MATCH,SDN-43586
C658758,NO_MATCH,
C528788,NO_MATCH,
C550530,NO_MATCH,
C473870,NO_MATCH,
C181384,MATCH,SDN-57676
C368574,NO_MATCH,
C966531,NO_MATCH,
C128212,NO_MATCH,
C989920,NO_MATCH,
C645354,MATCH,SDN-32907
C836200,NO_MATCH,
C522060,NO_MATCH,
C702244,NO_MATCH,
C291980,MATCH,SDN-24573
C491330,NO_MATCH,
C453908,NO_MATCH,
C628733,NO_MATCH,
C797381,NO_MATCH,
C695067,MATCH,SDN-70889
C529681,NO_MATCH,
C455921,MATCH,SDN-56229
C583793,NO_MATCH,
C873820,NO_MATCH,
C493060,MATCH,SDN-22333
C542352,NO_MATCH,
C274671,NO_MATCH,
C596123,NO_MATCH,
C775483,NO_MATCH,
C409097,MATCH,SDN-89248
C720065,MATCH,SDN-97083
C735094,MATCH,SDN-45528
C842473,NO_MATCH,
C148274,NO_MATCH,
C832777,MATCH,SDN-93399
C423265,MATCH,SDN-57028
C213207,NO_MATCH,
C893318,NO_MATCH,
C420175,MATCH,SDN-51317
C528670,NO_MATCH,
C502271,NO_MATCH,
C262450,NO_MATCH,
C220863,NO_MATCH,
C257562,NO_MATCH,
C106149,MATCH,SDN-27168
C384870,NO_MATCH,
C857026,MATCH,SDN-49136
C444116,NO_MATCH,
C695024,NO_MATCH,
C723010,NO_MATCH,
C683047,NO_MATCH,
C318321,MATCH,SDN-69115
C277983,MATCH,SDN-24677
C763918,NO_MATCH,
C351872,NO_MATCH,
C923647,MATCH,SDN-86526
C115270,MATCH,SDN-55324
C101301,NO_MATCH,
C577324,NO_MATCH,
C897029,NO_MATCH,
C511839,MATCH,SDN-55448
C391772,NO_MATCH,
C569740,NO_MATCH,
C322700,MATCH,SDN-57411
C853310,NO_MATCH,
C973678,MATCH,SDN-22373
C643138,MATCH,SDN-57892
C163104,NO_MATCH,
C694581,MATCH,SDN-26266
C397783,NO_MATCH,
C707947,MATCH,SDN-92181
C967038,MATCH,SDN-43042
C829672,MATCH,SDN-86590
C237176,MATCH,SDN-82225
C515392,NO_MATCH,
C411734,MATCH,SDN-39730
C459944,NO_MATCH,
C213488,MATCH,SDN-43133
C342964,NO_MATCH,
C214039,NO_MATCH,
C364655,MATCH,SDN-46644
C127129,MATCH,SDN-25478
C934075,MATCH,SDN-70542
C709602,MATCH,SDN-77427
C312840,NO_MATCH,
C188760,MATCH,SDN-77158
C858530,NO_MATCH,
C408085,NO_MATCH,
C566918,MATCH,SDN-88398
C599287,NO_MATCH,
C354872,NO_MATCH,
C941606,NO_MATCH,
C340969,NO_MATCH,
C990474,MATCH,SDN-75950
C705911,NO_MATCH,
C971990,NO_MATCH,
C284398,NO_MATCH,
C643647,NO_MATCH,
C247825,NO_MATCH,
C695264,NO_MATCH,
C600553,NO_MATCH,
C484751,NO_MATCH,
C411153,MATCH,SDN-84276
C297302,NO_MATCH,
C631059,NO_MATCH,
C670938,MATCH,SDN-27220
C594994,NO_MATCH,
C602719,MATCH,SDN-48342
C872221,NO_MATCH,
C796677,MATCH,SDN-50053
C201919,NO_MATCH,
C679901,NO_MATCH,
C943756,MATCH,SDN-28771
C380754,NO_MATCH,
C113445,NO_MATCH,
C198669,NO_MATCH,
C179083,MATCH,SDN-16880
C941851,NO_MATCH,
C850836,NO_MATCH,
C796965,NO_MATCH,
C605641,NO_MATCH,
C859583,MATCH,SDN-23934
C515262,MATCH,SDN-72268
C733583,MATCH,SDN-29211
C417456,MATCH,SDN-95573
C788030,MATCH,SDN-82662
C544886,NO_MATCH,
C925252,MATCH,SDN-53556
C402062,MATCH,SDN-36430
C288376,MATCH,SDN-33620
C693602,MATCH,SDN-15684
C640821,MATCH,SDN-69078
C240628,NO_MATCH,
C751695,NO_MATCH,
C540902,NO_MATCH,
C739097,NO_MATCH,
C934566,MATCH,SDN-17197
C839036,NO_MATCH,
C127072,NO_MATCH,
C431501,MATCH,SDN-96481
C560466,MATCH,SDN-87774
C318555,NO_MATCH,
C255378,NO_MATCH,
C114518,MATCH,SDN-47738
C629916,MATCH,SDN-41465
C992701,MATCH,SDN-97229
C720980,NO_MATCH,
C485177,NO_MATCH,
C772776,NO_MATCH,
C591458,NO_MATCH,
C162846,NO_MATCH,
C692371,NO_MATCH,
C489841,MATCH,SDN-11018
C676818,NO_MATCH,
C916674,NO_MATCH,
C773449,NO_MATCH,
C520685,MATCH,SDN-12088
C394095,MATCH,SDN-83405
C163002,NO_MATCH,
C349505,NO_MATCH,
C814823,NO_MATCH,
C138803,NO_MATCH,
C896281,NO_MATCH,
C210168,MATCH,SDN-29674
C575512,NO_MATCH,
C492343,NO_MATCH,
C941656,MATCH,SDN-89572
C760417,MATCH,SDN-13624
C905731,NO_MATCH,
C495627,MATCH,SDN-82311
C680530,NO_MATCH,
C328344,MATCH,SDN-23706
C525470,NO_MATCH,
C336846,NO_MATCH,
C370475,NO_MATCH,
C810454,NO_MATCH,
C681996,NO_MATCH,
C564331,NO_MATCH,
C380489,NO_MATCH,
C755812,NO_MATCH,
C208547,NO_MATCH,
C356347,MATCH,SDN-33838
C461824,NO_MATCH,
C515073,NO_MATCH,
C881356,NO_MATCH,
C338287,MATCH,SDN-43721
C175514,MATCH,SDN-36418
C503649,NO_MATCH,
C507958,MATCH,SDN-35947
C575020,MATCH,SDN-63331
C708870,NO_MATCH,
C272824,NO_MATCH,
C841083,NO_MATCH,
C162211,NO_MATCH,
C816622,MATCH,SDN-96148
C865025,NO_MATCH,
C431998,NO_MATCH,
C224315,MATCH,SDN-72524
C923233,NO_MATCH,
C480297,NO_MATCH,
C881372,NO_MATCH,
C704803,NO_MATCH,
C493642,NO_MATCH,
C681296,NO_MATCH,
C217842,NO_MATCH,
C445920,NO_MATCH,
C115308,NO_MATCH,
C734885,MATCH,SDN-72477
C971935,NO_MATCH,
C976392,MATCH,SDN-74421
C557485,MATCH,SDN-16740
C970842,MATCH,SDN-89372
C357576,NO_MATCH,
C735462,NO_MATCH,
C297365,NO_MATCH,
C244964,NO_MATCH,
C134332,MATCH,SDN-64959
C605227,NO_MATCH,
C930422,NO_MATCH,
C308474,MATCH,SDN-68154
C247146,MATCH,SDN-89006
C220508,NO_MATCH,
C899490,NO_MATCH,
C524037,NO_MATCH,
C438368,NO_MATCH,
C127346,NO_MATCH,
C943697,MATCH,SDN-92314
C528087,NO_MATCH,
C376391,NO_MATCH,
C250870,MATCH,SDN-38236
C793652,NO_MATCH,
C855571,NO_MATCH,
C185027,NO_MATCH,
C601738,MATCH,SDN-24798
C280391,MATCH,SDN-88749
C791643,NO_MATCH,
C729265,NO_MATCH,
C797054,NO_MATCH,
C407531,NO_MATCH,
C913427,MATCH,SDN-88689
C177735,NO_MATCH,
C225771,NO_MATCH,
C594908,NO_MATCH,
C701258,MATCH,SDN-65673
C196979,NO_MATCH,
C256692,NO_MATCH,
C768625,MATCH,SDN-21025
C813916,NO_MATCH,
C177948,NO_MATCH,
C363926,MATCH,SDN-34337
C545301,MATCH,SDN-27260
C346811,NO_MATCH,
C952154,NO_MATCH,
C630964,NO_MATCH,
C541606,NO_MATCH,
C504055,MATCH,SDN-27791
C748672,NO_MATCH,
C808557,NO_MATCH,
C985289,NO_MATCH,
C815847,NO_MATCH,
C707836,MATCH,SDN-56037
C810858,NO_MATCH,
C116350,MATCH,SDN-74902
C102005,NO_MATCH,
C512243,NO_MATCH,
C441507,NO_MATCH,
C824944,NO_MATCH,
C468626,MATCH,SDN-20008
C631982,NO_MATCH,
C612219,NO_MATCH,
C514202,MATCH,SDN-70140
C906372,MATCH,SDN-96127
C496252,MATCH,SDN-82661
C838310,MATCH,SDN-33869
C762752,MATCH,SDN-74153
C189885,NO_MATCH,
C827248,NO_MATCH,
C611952,NO_MATCH,
C768891,NO_MATCH,
C366991,NO_MATCH,
C948097,NO_MATCH,
C276249,NO_MATCH,
C167404,NO_MATCH,
C693993,NO_MATCH,
C826928,MATCH,SDN-50908
C527801,NO_MATCH,
C820683,NO_MATCH,
C255102,NO_MATCH,
C980682,MATCH,SDN-22751
C493812,NO_MATCH,
C711339,MATCH,SDN-15303
C235959,NO_MATCH,
C519046,MATCH,SDN-74298
C212012,MATCH,SDN-87919
C111575,NO_MATCH,
C140407,NO_MATCH,
C429643,NO_MATCH,
C826983,NO_MATCH,
C694683,NO_MATCH,
C861333,NO_MATCH,
C932499,MATCH,SDN-95540
C791205,NO_MATCH,
C605723,MATCH,SDN-12390
C536238,NO_MATCH,
C443184,NO_MATCH,
C791858,NO_MATCH,
C483159,NO_MATCH,
C179053,NO_MATCH,
C170362,MATCH,SDN-47359
C560611,MATCH,SDN-81419
C818331,NO_MATCH,
C783887,NO_MATCH,
C138647,NO_MATCH,
C883595,MATCH,SDN-87029
C635514,NO_MATCH,
C809105,NO_MATCH,
C120175,NO_MATCH,
C475217,NO_MATCH,
C302837,MATCH,SDN-73983
C736111,MATCH,SDN-82221
C664678,NO_MATCH,
C612474,NO_MATCH,
C635719,MATCH,SDN-12390
C298434,MATCH,SDN-74227
C441244,MATCH,SDN-80151
C600570,NO_MATCH,
C751785,MATCH,SDN-20419
C374697,NO_MATCH,
C674216,NO_MATCH,
C478852,NO_MATCH,
C338081,NO_MATCH,
C470241,MATCH,SDN-77787
C779328,NO_MATCH,
C951531,MATCH,SDN-49624
C420758,NO_MATCH,
C422528,NO_MATCH,
C259272,NO_MATCH,
C241828,MATCH,SDN-16735
C640780,MATCH,SDN-15337
C594265,MATCH,SDN-77944
C246467,NO_MATCH,
C867390,NO_MATCH,
C505533,MATCH,SDN-10605
C305855,MATCH,SDN-15993
C345934,NO_MATCH,
C829589,NO_MATCH,
C263119,NO_MATCH,
C966653,NO_MATCH,
C953039,NO_MATCH,
C718703,NO_MATCH,
C221420,NO_MATCH,
C864115,NO_MATCH,
C161585,NO_MATCH,
C288296,NO_MATCH,
C899284,MATCH,SDN-13940
C643667,NO_MATCH,
C481666,NO_MATCH,
C308402,NO_MATCH,
C430328,NO_MATCH,
C842298,MATCH,SDN-49463
C419577,NO_MATCH,
C829583,MATCH,SDN-96801
C891810,MATCH,SDN-83484
C355031,NO_MATCH,
C507149,MATCH,SDN-12509
C898650,NO_MATCH,
C728237,NO_MATCH,
C980412,NO_MATCH,
C459315,NO_MATCH,
C957941,MATCH,SDN-67597
C499682,MATCH,SDN-26384
C402095,MATCH,SDN-81030
C815039,NO_MATCH,
C129171,NO_MATCH,
C220392,NO_MATCH,
C327446,NO_MATCH,
C138311,NO_MATCH,
C381944,NO_MATCH,
C443388,NO_MATCH,
C708735,MATCH,SDN-81498
C753366,NO_MATCH,
C235020,NO_MATCH,
C370296,MATCH,SDN-24453
C879922,MATCH,SDN-75196
C265266,NO_MATCH,
C639294,NO_MATCH,
C199637,NO_MATCH,
C802093,NO_MATCH,
C156170,MATCH,SDN-71095
C466389,NO_MATCH,
C266300,MATCH,SDN-26728
C929841,NO_MATCH,
C371741,NO_MATCH,
C861883,MATCH,SDN-85273
C396378,MATCH,SDN-80496
C459607,NO_MATCH,
C522956,MATCH,SDN-45933
C858280,MATCH,SDN-14819
C613586,NO_MATCH,
C385988,MATCH,SDN-63769
C320904,NO_MATCH,
C546128,NO_MATCH,
C546347,MATCH,SDN-42747
C441228,MATCH,SDN-99061
C398516,MATCH,SDN-36098
C262095,MATCH,SDN-23124
C882746,NO_MATCH,
C724677,NO_MATCH,
C718334,NO_MATCH,
C776580,NO_MATCH,
C544238,NO_MATCH,
C638700,NO_MATCH,
C644150,NO_MATCH,
C606345,MATCH,SDN-50731
C157776,NO_MATCH,
C717075,NO_MATCH,
C972808,NO_MATCH,
C522242,NO_MATCH,
C625816,NO_MATCH,
C963816,NO_MATCH,
C888672,NO_MATCH,
C861007,MATCH,SDN-70007
C576188,NO_MATCH,
C168712,NO_MATCH,
C377090,NO_MATCH,
C930377,NO_MATCH,
C675737,NO_MATCH,
C987424,NO_MATCH,
C827611,MATCH,SDN-87451
C509685,NO_MATCH,
C119828,NO_MATCH,
C332366,NO_MATCH,
C823430,NO_MATCH,
C288557,NO_MATCH,
C927980,NO_MATCH,
C343373,NO_MATCH,
C686569,NO_MATCH,
C508472,MATCH,SDN-65990
C915298,NO_MATCH,
C373648,NO_MATCH,
C996835,NO_MATCH,
C404391,NO_MATCH,
C251339,MATCH,SDN-22212
C119529,NO_MATCH,
C739427,NO_MATCH,
C820983,MATCH,SDN-72326
C383355,NO_MATCH,
C651366,MATCH,SDN-60792
C134432,NO_MATCH,
C867218,MATCH,SDN-28359
C702382,MATCH,SDN-56590
C959450,NO_MATCH,
C634054,NO_MATCH,
C246586,NO_MATCH,
C297113,NO_MATCH,
C313531,NO_MATCH,
C181946,MATCH,SDN-68625
C931772,NO_MATCH,
C359080,MATCH,SDN-34182
C866932,MATCH,SDN-31453
C527100,MATCH,SDN-87282
C817775,NO_MATCH,
C752694,NO_MATCH,
C372087,MATCH,SDN-55929
C374423,NO_MATCH,
C207372,NO_MATCH,
C864779,NO_MATCH,
C245853,NO_MATCH,
C796993,NO_MATCH,
C116072,NO_MATCH,
C293583,NO_MATCH,
C524157,NO_MATCH,
C718791,MATCH,SDN-64342
C400204,NO_MATCH,
C395102,NO_MATCH,
C702275,MATCH,SDN-31770
C704413,NO_MATCH,
C344416,NO_MATCH,
C450364,MATCH,SDN-81910
C976496,NO_MATCH,
C845945,MATCH,SDN-51631
C306950,NO_MATCH,
C140369,NO_MATCH,
C638763,NO_MATCH,
C623929,MATCH,SDN-33902
C397063,NO_MATCH,
C891362,MATCH,SDN-83646
C336742,MATCH,SDN-74159
C289337,NO_MATCH,
C822360,NO_MATCH,
C767950,NO_MATCH,
C320702,MATCH,SDN-42675
C135507,NO_MATCH,
C644088,NO_MATCH,
C325545,MATCH,SDN-96996
C148711,NO_MATCH,
C100010,NO_MATCH,
C698300,NO_MATCH,
C492678,NO_MATCH,
C654129,NO_MATCH,
C140445,NO_MATCH,
C961491,MATCH,SDN-82239
C585042,NO_MATCH,
C876069,NO_MATCH,
C802932,NO_MATCH,
C646679,MATCH,SDN-57421
C151255,NO_MATCH,
C349597,MATCH,SDN-26764
C991891,MATCH,SDN-87543
C749192,MATCH,SDN-64050
C760079,MATCH,SDN-16029
C966092,NO_MATCH,
C112740,NO_MATCH,
C813409,NO_MATCH,
C802958,MATCH,SDN-37390
C648263,NO_MATCH,
C720054,NO_MATCH,
C991073,MATCH,SDN-36636
C340682,NO_MATCH,
C104142,MATCH,SDN-84313
C159933,NO_MATCH,
C414262,NO_MATCH,
C521729,NO_MATCH,
C848744,NO_MATCH,
C490194,NO_MATCH,
C397765,NO_MATCH,
C858353,NO_MATCH,
C619831,NO_MATCH,
C692587,NO_MATCH,
C163654,NO_MATCH,
C556740,NO_MATCH,
C304544,NO_MATCH,
C117861,MATCH,SDN-45737
C726489,NO_MATCH,
C771184,NO_MATCH,
C602059,NO_MATCH,
C681015,NO_MATCH,
C592680,NO_MATCH,
C574527,NO_MATCH,
C813736,NO_MATCH,
C481372,MATCH,SDN-10197
C942984,NO_MATCH,
C152316,NO_MATCH,
C454213,MATCH,SDN-24771
C529885,NO_MATCH,
C726659,NO_MATCH,
C843404,NO_MATCH,
C463163,NO_MATCH,
C706895,MATCH,SDN-33902
C512556,NO_MATCH,
C630877,MATCH,SDN-58786
C785911,NO_MATCH,
C204687,NO_MATCH,
C631312,NO_MATCH,
C695608,MATCH,SDN-50953
C628512,MATCH,SDN-83944
C265282,MATCH,SDN-21282
C283992,MATCH,SDN-16023
C735894,NO_MATCH,
C208912,NO_MATCH,
C991912,NO_MATCH,
C553842,NO_MATCH,
C974950,MATCH,SDN-67670
C259934,NO_MATCH,
C318506,NO_MATCH,
C374380,NO_MATCH,
C486423,NO_MATCH,
C688650,MATCH,SDN-61278
C491256,MATCH,SDN-77837
C204053,NO_MATCH,
C341249,NO_MATCH,
C535032,NO_MATCH,
C837379,NO_MATCH,
C566040,NO_MATCH,
C888447,NO_MATCH,
C811938,NO_MATCH,
C733097,NO_MATCH,
C204265,NO_MATCH,
C773356,MATCH,SDN-70089
C235460,NO_MATCH,
C148157,MATCH,SDN-19708
