customer_id,decision,matched_uid
C390715,NO_MATCH,
C372710,NO_MATCH,
C211484,MATCH,SDN-45251
C688777,NO_MATCH,
C177769,NO_MATCH,
C419862,NO_MATCH,
C311823,NO_MATCH,
C682888,NO_MATCH,
C526416,MATCH,SDN-86954
C450397,MATCH,SDN-72892
C600410,NO_MATCH,
C513993,NO_MATCH,
C534538,NO_MATCH,
C537754,NO_MATCH,
C765825,NO_MATCH,
C692019,NO_MATCH,
C330642,NO_MATCH,
C401132,MATCH,SDN-45033
C149056,MATCH,SDN-76809
C977764,NO_MATCH,
C120298,NO_MATCH,
C954937,NO_MATCH,
C528962,NO_MATCH,
C122908,NO_MATCH,
C576461,MATCH,SDN-66315
C918178,NO_MATCH,
C153111,NO_MATCH,
C988439,NO_MATCH,
C854265,NO_MATCH,
C489053,MATCH,SDN-83983
C184756,NO_MATCH,
C900201,NO_MATCH,
C830904,NO_MATCH,
C919397,NO_MATCH,
C900603,NO_MATCH,
C732867,NO_MATCH,
C841379,NO_MATCH,
C750009,MATCH,SDN-85013
C433942,MATCH,SDN-29887
C417110,MATCH,SDN-30835
C549841,NO_MATCH,
C611630,NO_MATCH,
C670408,MATCH,SDN-48455
C642448,NO_MATCH,
C813349,NO_MATCH,
C359414,NO_MATCH,
C956641,NO_MATCH,
C443517,NO_MATCH,
C882316,MATCH,SDN-34602
C679526,NO_MATCH,
C621295,MATCH,SDN-40424
C821856,NO_MATCH,
C302661,NO_MATCH,
C793456,NO_MATCH,
C326179,NO_MATCH,
C979375,MATCH,SDN-41472
C806903,NO_MATCH,
C234921,NO_MATCH,
C538531,NO_MATCH,
C621443,MATCH,SDN-61887
C953228,MATCH,SDN-74089
C904636,MATCH,SDN-88464
C324068,NO_MATCH,
C153369,MATCH,SDN-12451
C132129,NO_MATCH,
C538777,NO_MATCH,
C412685,NO_MATCH,
C899824,NO_MATCH,
C365021,NO_MATCH,
C403428,MATCH,SDN-48299
C507116,NO_MATCH,
C542992,NO_MATCH,
C607881,NO_MATCH,
C250665,MATCH,SDN-79582
C942333,NO_MATCH,
C211181,NO_MATCH,
C906410,NO_MATCH,
C617852,MATCH,SDN-79125
C728345,NO_MATCH,
C649754,MATCH,SDN-41053
C696830,NO_MATCH,
C504893,NO_MATCH,
C739875,NO_MATCH,
C406224,NO_MATCH,
C238161,NO_MATCH,
C300798,MATCH,SDN-19709
C208143,NO_MATCH,
C561321,NO_MATCH,
C110580,MATCH,SDN-66365
C407233,NO_MATCH,
C917299,NO_MATCH,
C161078,NO_MATCH,
C694458,NO_MATCH,
C230124,NO_MATCH,
C457167,MATCH,SDN-25017
C743061,NO_MATCH,
C310236,MATCH,SDN-80728
C934493,NO_MATCH,
C151585,NO_MATCH,
C992946,NO_MATCH,
C465314,MATCH,SDN-55995
C728260,MATCH,SDN-40260
C524553,MATCH,SDN-72736
C248046,MATCH,SDN-48789
C524315,MATCH,SDN-70912
C848442,MATCH,SDN-88860
C922231,MATCH,SDN-47387
C404359,NO_MATCH,
C266291,MATCH,SDN-81178
C496290,NO_MATCH,
C327044,NO_MATCH,
C341530,NO_MATCH,
C185063,NO_MATCH,
C430751,NO_MATCH,
C399682,NO_MATCH,
C987005,NO_MATCH,
C609453,NO_MATCH,
C750026,NO_MATCH,
C889818,MATCH,SDN-84991
C376695,NO_MATCH,
C452866,NO_MATCH,
C499401,NO_MATCH,
C787734,MATCH,SDN-54583
C986988,NO_MATCH,
C387351,NO_MATCH,
C191010,MATCH,SDN-28231
C216278,NO_MATCH,
C476635,MATCH,SDN-38712
C969099,NO_MATCH,
C370082,MATCH,SDN-96495
C435182,MATCH,SDN-92918
C397074,NO_MATCH,
C132274,NO_MATCH,
C616669,MATCH,SDN-74823
C272025,MATCH,SDN-41615
C715825,MATCH,SDN-28834
C598915,NO_MATCH,
C520581,MATCH,SDN-96228
C604829,NO_MATCH,
C447948,NO_MATCH,
C650142,NO_MATCH,
C206765,MATCH,SDN-76917
C249198,NO_MATCH,
C545562,MATCH,SDN-31740
C849146,NO_MATCH,
C216780,NO_MATCH,
C269919,MATCH,SDN-60148
C716774,NO_MATCH,
C992064,NO_MATCH,
C206239,MATCH,SDN-11102
C167369,NO_MATCH,
C712643,NO_MATCH,
C830974,MATCH,SDN-95116
C315873,NO_MATCH,
C478397,MATCH,SDN-41309
C173156,NO_MATCH,
C412933,MATCH,SDN-78724
C256468,MATCH,SDN-72844
C584283,NO_MATCH,
C679857,NO_MATCH,
C490004,NO_MATCH,
C381858,NO_MATCH,
C740423,NO_MATCH,
C728911,MATCH,SDN-55229
C217670,NO_MATCH,
C231305,NO_MATCH,
C538009,NO_MATCH,
C317240,MATCH,SDN-35055
C363170,NO_MATCH,
C100493,MATCH,SDN-81433
C564789,MATCH,SDN-35617
