customer_id,decision,matched_uid
C983735,MATCH,SDN-87226
C667833,MATCH,SDN-40767
C297746,NO_MATCH,
C771759,NO_MATCH,
C350789,NO_MATCH,
C959560,MATCH,SDN-56253
C826806,MATCH,SDN-29955
C410460,MATCH,SDN-90134
C527690,NO_MATCH,
C977124,MATCH,SDN-35453
C426843,NO_MATCH,
C922656,MATCH,SDN-19801
C442685,MATCH,SDN-47851
C793927,MATCH,SDN-83767
C640702,NO_MATCH,
C492563,NO_MATCH,
C804778,MATCH,SDN-80699
C463703,NO_MATCH,
C229307,NO_MATCH,
C521207,MATCH,SDN-62321
C145032,MATCH,SDN-58229
C663075,MATCH,SDN-62861
C790328,NO_MATCH,
C455867,NO_MATCH,
C455751,NO_MATCH,
C135534,NO_MATCH,
C899671,NO_MATCH,
C803059,NO_MATCH,
C732985,MATCH,SDN-32567
C922365,NO_MATCH,
C818921,NO_MATCH,
C753140,MATCH,SDN-94312
C971685,NO_MATCH,
C952179,NO_MATCH,
C881899,NO_MATCH,
C367458,NO_MATCH,
C618254,NO_MATCH,
C585165,NO_MATCH,
C206866,NO_MATCH,
C669114,MATCH,SDN-52952
C286431,MATCH,SDN-68446
C222788,MATCH,SDN-44414
C216155,NO_MATCH,
C607256,NO_MATCH,
C841330,MATCH,SDN-50194
C277796,MATCH,SDN-95960
C966988,NO_MATCH,
C291250,NO_MATCH,
C619844,NO_MATCH,
C759289,MATCH,SDN-40380
C847290,MATCH,SDN-64805
C797441,NO_MATCH,
C601480,NO_MATCH,
C605626,NO_MATCH,
C524338,MATCH,SDN-24787
C817781,MATCH,SDN-34275
C615614,NO_MATCH,
C132923,NO_MATCH,
C382543,NO_MATCH,
C166134,NO_MATCH,
C661910,NO_MATCH,
C165909,NO_MATCH,
C767051,NO_MATCH,
C644982,MATCH,SDN-85013
C309131,NO_MATCH,
C864266,NO_MATCH,
C973360,MATCH,SDN-50387
C336219,NO_MATCH,
C378764,NO_MATCH,
C233407,NO_MATCH,
C179418,NO_MATCH,
C300949,MATCH,SDN-94745
C912280,MATCH,SDN-38267
C316424,NO_MATCH,
C431551,NO_MATCH,
C226894,NO_MATCH,
C565803,NO_MATCH,
C452522,NO_MATCH,
C247640,NO_MATCH,
C606307,NO_MATCH,
C207976,NO_MATCH,
C134782,MATCH,SDN-80985
C724428,NO_MATCH,
C807088,MATCH,SDN-45031
C556944,NO_MATCH,
C920345,NO_MATCH,
C473443,NO_MATCH,
C138941,NO_MATCH,
C717443,MATCH,SDN-48457
C232678,NO_MATCH,
C995379,MATCH,SDN-26706
C400786,MATCH,SDN-66614
C300105,NO_MATCH,
C542272,MATCH,SDN-34792
C866431,MATCH,SDN-18173
C950760,NO_MATCH,
C673841,MATCH,SDN-80303
C357751,NO_MATCH,
C312616,NO_MATCH,
C591430,MATCH,SDN-38736
C499691,NO_MATCH,
C775774,NO_MATCH,
C571550,NO_MATCH,
C104592,NO_MATCH,
C377725,MATCH,SDN-22987
C200467,MATCH,SDN-49755
C527548,NO_MATCH,
C962600,NO_MATCH,
C260893,MATCH,SDN-51741
C466438,MATCH,SDN-98205
C877456,MATCH,SDN-35935
C350387,MATCH,SDN-55283
C830888,NO_MATCH,
C283469,NO_MATCH,
C953125,MATCH,SDN-99725
C592379,MATCH,SDN-49309
C703116,NO_MATCH,
C729160,NO_MATCH,
C905174,NO_MATCH,
C154367,NO_MATCH,
C346048,NO_MATCH,
C459964,MATCH,SDN-80872
C756310,NO_MATCH,
C811790,NO_MATCH,
C273622,NO_MATCH,
C843078,NO_MATCH,
C616570,MATCH,SDN-47783
C376458,NO_MATCH,
C367723,NO_MATCH,
C774665,NO_MATCH,
C122528,NO_MATCH,
C999342,NO_MATCH,
C122970,NO_MATCH,
C868670,NO_MATCH,
C895223,NO_MATCH,
C250781,NO_MATCH,
C317592,MATCH,SDN-26244
C865705,MATCH,SDN-73565
C695951,NO_MATCH,
C982064,NO_MATCH,
C783317,MATCH,SDN-12737
C578461,NO_MATCH,
C912636,NO_MATCH,
C270631,NO_MATCH,
C526510,NO_MATCH,
C977020,NO_MATCH,
C295360,MATCH,SDN-28133
C480030,NO_MATCH,
C416261,NO_MATCH,
C731984,NO_MATCH,
C654805,MATCH,SDN-43355
C366173,NO_MATCH,
C929979,MATCH,SDN-98369
C370706,NO_MATCH,
C948962,MATCH,SDN-20593
C577133,NO_MATCH,
C348316,NO_MATCH,
C131407,NO_MATCH,
C568214,NO_MATCH,
C230523,NO_MATCH,
C443647,NO_MATCH,
C593604,NO_MATCH,
C373934,MATCH,SDN-42991
C527985,NO_MATCH,
C244114,NO_MATCH,
C598172,NO_MATCH,
C245494,MATCH,SDN-90312
C156521,NO_MATCH,
C329779,NO_MATCH,
C197903,MATCH,SDN-91473
C610649,NO_MATCH,
C438151,MATCH,SDN-33157
C393137,NO_MATCH,
C703346,MATCH,SDN-55471
C980366,NO_MATCH,
C407168,NO_MATCH,
C252762,NO_MATCH,
C488099,NO_MATCH,
C126186,NO_MATCH,
C349906,NO_MATCH,
C679111,MATCH,SDN-51649
C813321,MATCH,SDN-68293
C203088,NO_MATCH,
C730819,MATCH,SDN-81399
C208764,NO_MATCH,
C963257,MATCH,SDN-95234
C136330,MATCH,SDN-52659
C786770,NO_MATCH,
C349063,MATCH,SDN-74473
C843532,NO_MATCH,
C727287,MATCH,SDN-54311
C429038,MATCH,SDN-62689
C710894,MATCH,SDN-25372
C664370,MATCH,SDN-68195
C680808,NO_MATCH,
C402190,MATCH,SDN-24722
C230259,MATCH,SDN-54614
C853678,NO_MATCH,
C971146,MATCH,SDN-29294
C170802,NO_MATCH,
C409035,NO_MATCH,
C219596,NO_MATCH,
C239067,NO_MATCH,
C752460,NO_MATCH,
C534751,NO_MATCH,
C291435,NO_MATCH,
C634092,NO_MATCH,
C407623,NO_MATCH,
C918888,NO_MATCH,
C966699,NO_MATCH,
C986325,NO_MATCH,
C371778,MATCH,SDN-69410
C329652,MATCH,SDN-85774
C273444,NO_MATCH,
C428002,MATCH,SDN-55816
C618619,NO_MATCH,
C522458,NO_MATCH,
C451350,NO_MATCH,
C661600,NO_MATCH,
C149086,NO_MATCH,
C952280,NO_MATCH,
C433755,NO_MATCH,
C862094,NO_MATCH,
C697274,NO_MATCH,
C185481,NO_MATCH,
C649895,NO_MATCH,
C760799,MATCH,SDN-10714
C156373,MATCH,SDN-75815
C191016,NO_MATCH,
C257291,NO_MATCH,
C167350,MATCH,SDN-38186
C124500,NO_MATCH,
C632062,NO_MATCH,
C852587,MATCH,SDN-27996
C855533,MATCH,SDN-41986
C994217,MATCH,SDN-83767
C951774,MATCH,SDN-37788
C859119,MATCH,SDN-66725
C915541,NO_MATCH,
C705993,NO_MATCH,
C781813,NO_MATCH,
C650906,NO_MATCH,
C178511,NO_MATCH,
C938293,NO_MATCH,
C111412,MATCH,SDN-57474
C304008,MATCH,SDN-35453
C521165,MATCH,SDN-73186
C404155,NO_MATCH,
C916893,MATCH,SDN-57695
C278274,MATCH,SDN-70005
C217323,NO_MATCH,
C303917,NO_MATCH,
C336054,MATCH,SDN-29300
C778183,NO_MATCH,
C932802,NO_MATCH,
C763360,MATCH,SDN-51654
C966952,MATCH,SDN-89168
C773985,NO_MATCH,
C599250,NO_MATCH,
C352156,MATCH,SDN-49151
C321228,MATCH,SDN-28838
C221981,NO_MATCH,
C826362,NO_MATCH,
C302591,NO_MATCH,
C283293,NO_MATCH,
C770156,NO_MATCH,
C518731,NO_MATCH,
C610262,NO_MATCH,
C501416,NO_MATCH,
C155141,MATCH,SDN-87047
C158368,MATCH,SDN-64847
C788683,NO_MATCH,
C496418,NO_MATCH,
C258485,NO_MATCH,
C546706,NO_MATCH,
C448240,NO_MATCH,
C438769,NO_MATCH,
C228724,MATCH,SDN-99220
C567848,MATCH,SDN-56493
C334561,MATCH,SDN-99100
C383882,NO_MATCH,
C988808,NO_MATCH,
C552542,NO_MATCH,
C171015,MATCH,SDN-98802
C535987,NO_MATCH,
C166389,NO_MATCH,
C589693,NO_MATCH,
C847516,MATCH,SDN-40749
C695097,NO_MATCH,
C617592,NO_MATCH,
C811080,NO_MATCH,
C375996,NO_MATCH,
C941004,NO_MATCH,
C445696,NO_MATCH,
C225064,MATCH,SDN-57723
C139596,MATCH,SDN-40126
C215277,NO_MATCH,
C190685,NO_MATCH,
C968291,MATCH,SDN-55738
C134844,MATCH,SDN-88301
C598382,NO_MATCH,
C247949,MATCH,SDN-59449
C187777,NO_MATCH,
C115936,NO_MATCH,
C906558,NO_MATCH,
C536030,NO_MATCH,
C370406,NO_MATCH,
C807858,MATCH,SDN-41192
C563479,MATCH,SDN-43124
C271200,NO_MATCH,
C739580,MATCH,SDN-18796
C973433,MATCH,SDN-26851
C615990,MATCH,SDN-23245
C828183,NO_MATCH,
C127229,MATCH,SDN-59121
C323876,NO_MATCH,
C847935,NO_MATCH,
C105717,NO_MATCH,
C416346,NO_MATCH,
C163648,MATCH,SDN-63206
C220171,MATCH,SDN-89020
C928643,NO_MATCH,
C309429,MATCH,SDN-95128
C388411,NO_MATCH,
C164826,MATCH,SDN-25989
C258814,NO_MATCH,
C845527,NO_MATCH,
C659337,NO_MATCH,
C766384,NO_MATCH,
C614479,MATCH,SDN-41586
C679448,NO_MATCH,
C539061,MATCH,SDN-56541
C451322,NO_MATCH,
C746907,MATCH,SDN-10883
C350617,MATCH,SDN-20895
C287535,NO_MATCH,
C819488,NO_MATCH,
C341342,NO_MATCH,
C724733,NO_MATCH,
C777019,MATCH,SDN-80318
C378976,NO_MATCH,
C443970,NO_MATCH,
C428292,NO_MATCH,
